Junction,vtype,07:00,07:15,07:30,07:45,hour1,08:00,08:15,08:30,08:45,hour2,09:00,09:15,09:30,09:45,hour3,3hour1,10:00,10:15,10:30,10:45,hour4,11:00,11:15,11:30,11:45,hour5,12:00,12:15,12:30,12:45,hour6,3hour2,13:00,13:15,13:30,13:45,hour7,14:00,14:15,14:30,14:45,hour8,15:00,15:15,15:30,15:45,hour9,3hour3,16:00,16:15,16:30,16:45,hour10,17:00,17:15,17:30,17:45,hour11,18:00,18:15,18:30,18:45,hour12,3hour4,Total,Date
49DB,dbus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14/05/2013
49DB,obus,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14/05/2013
49DB,taxi,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,3,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,2,0,0,0,2,2,0,1,0,0,1,1,2,1,0,4,7,0,2,1,2,5,1,0,1,0,2,4,0,1,0,5,12,24,14/05/2013
49DB,mc,0,0,1,0,1,0,0,0,0,0,0,1,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,2,6,14/05/2013
49DB,pc,0,5,4,5,14,3,5,9,8,25,4,0,0,3,7,46,1,0,0,0,1,0,1,0,2,3,0,1,1,2,4,8,0,0,2,3,5,3,2,1,1,7,6,1,2,1,10,22,0,1,3,2,6,2,3,2,1,8,3,3,0,1,7,21,97,14/05/2013
49DB,vtotal,1,5,12,14,32,18,12,21,14,65,11,3,8,5,27,124,2,3,4,2,11,8,4,3,6,21,7,9,6,8,30,62,3,5,7,13,28,10,7,5,6,28,10,14,9,9,42,98,5,9,8,10,32,7,5,5,5,22,10,4,7,5,26,80,364,14/05/2013
49DB,ptotal,1,1,8.2,11,21.2,15.6,8,13.8,7.6,45,9.1,2.4,7.4,2.6,21.5,87.7,2.5,4.3,4,2,12.8,8,4.5,3,4.4,19.9,8.3,9.5,6.5,6.4,30.7,63.4,3,5,5.4,10.6,24,7,8,4.2,5.2,24.4,5.2,13.2,7.4,8.2,34,82.4,5,8.2,5.6,8.4,27.2,5.4,2.6,2.8,4.2,15,7,1.6,7,4.2,19.8,62,295.5,14/05/2013
49DA,car,3,3,3,6,15,8,7,4,1,20,4,3,5,5,17,52,3,1,3,7,14,7,1,1,5,14,8,11,5,5,29,57,3,10,6,6,25,4,7,6,3,20,6,3,6,6,21,66,3,3,7,5,18,3,3,4,5,15,4,9,10,1,24,57,232,14/05/2013
49DA,lgv,1,0,1,0,2,1,0,0,0,1,0,1,0,1,2,5,2,1,0,2,5,3,2,1,2,8,1,0,0,0,1,14,0,3,1,0,4,1,2,1,0,4,1,3,0,0,4,12,1,1,2,2,6,0,0,2,0,2,1,0,1,1,3,11,42,14/05/2013
49DA,hgv 2x,2,1,0,1,4,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14/05/2013
49DA,hgv 3x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14/05/2013
49DA,hgv 4x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14/05/2013
49DA,hgv 5x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14/05/2013
49DA,dbus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14/05/2013
49DA,obus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14/05/2013
49DA,taxi,0,0,1,0,1,0,0,1,0,1,1,0,2,0,3,5,0,0,0,1,1,0,1,0,1,2,0,2,0,0,2,5,1,0,0,0,1,1,0,3,0,4,0,0,1,0,1,6,0,1,1,2,4,0,2,0,0,2,3,0,2,0,5,11,27,14/05/2013
49DA,mc,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14/05/2013
49DA,pc,2,0,1,4,7,3,4,3,7,17,7,1,0,1,9,33,0,0,0,1,1,1,1,0,1,3,0,1,0,1,2,6,1,0,0,0,1,1,1,0,1,3,1,0,1,1,3,7,2,1,0,1,4,0,0,0,1,1,1,0,3,0,4,9,55,14/05/2013
49DA,vtotal,8,4,6,11,29,12,12,8,8,40,12,5,7,7,31,100,6,2,3,11,22,11,5,2,9,27,10,14,5,6,35,84,5,14,7,6,32,8,10,10,4,32,9,6,8,7,30,94,6,6,10,10,32,3,5,6,6,20,9,9,16,2,36,88,366,14/05/2013
49DA,ptotal,9,5.3,5.2,9.1,28.6,9.6,8.2,5.6,2.4,25.8,6.4,4.2,7,6.2,23.8,78.2,7.3,2,3,10.2,22.5,10.2,4.2,2,8.2,24.6,11.3,13.2,5,5.2,34.7,81.8,4.2,15.3,7,6,32.5,8.5,9.2,10,3.2,30.9,7.6,6,7.2,6.2,27,90.4,4.4,5.2,10,9.2,28.8,3,5,6,5.2,19.2,8.2,9,13.6,2,32.8,80.8,331.2,14/05/2013
