Timestamp,Route,Link,Direction,STT,AccSTT,TCS1,TCS2
20151120-1558, 7, 7, 1,  36, 250,63,67
20151120-1558, 7, 7, 2, 100, 378,67,63
20151120-1558, 7, 8, 1,  23, 273,67,55
20151120-1558, 7, 8, 2,  45, 423,55,67
20151120-1558, 7, 9, 1,  42, 315,55,61
20151120-1558, 7, 9, 2,  38, 461,61,55
20151120-1558, 7,10, 1,  21, 336,61,59
20151120-1558, 7,10, 2,  77, 538,59,61
20151120-1558, 7,11, 1,  18, 354,59,76
20151120-1558, 7,11, 2, 128, 666,76,59
20151120-1558, 7,12, 1,  23, 377,76,141
20151120-1558, 7,12, 2,  22, 688,141,76
20151120-1558, 7,13, 1,  14, 391,141,166
20151120-1558, 7,13, 2,  61, 749,166,141
20151120-1558, 7,14, 1,  19, 410,166,182
20151120-1558, 7,14, 2,  14, 763,182,166
20151120-1558, 7,15, 1,  14, 424,182,403
20151120-1558, 7,15, 2, 151, 914,403,182
20151120-1558, 8, 1, 1,  33,  33,81,38
20151120-1558, 8, 1, 2,  53,  53,38,81
20151120-1558, 8, 2, 1,  58,  91,38,280
20151120-1558, 8, 2, 2, 255, 308,280,38
20151120-1558, 8, 3, 1,  37, 128,280,142
20151120-1558, 8, 3, 2,  36, 344,142,280
20151120-1558, 8, 4, 1,  15, 143,142,126
20151120-1558, 8, 4, 2,  41, 385,126,142
20151120-1558, 8, 5, 1,   7, 150,126,653
20151120-1558, 8, 5, 2, 107, 492,653,126
20151120-1558, 8, 6, 1,  43, 193,653,35
20151120-1558, 8, 6, 2,  14, 506,35,653
20151120-1558, 8, 7, 1,  23, 216,35,193
20151120-1558, 8, 7, 2, 213, 719,193,35
20151120-1558, 9, 1, 1,  39,  39,69,494
20151120-1558, 9, 1, 2,  38,  38,494,69
20151120-1558, 9, 2, 1, 100, 139,494,90
20151120-1558, 9, 2, 2,  99, 137,90,494
20151120-1558, 9, 3, 1,  68, 207,90,630
20151120-1558, 9, 3, 2,  69, 206,630,90
20151120-1558, 9, 4, 1,  71, 278,630,223
20151120-1558, 9, 4, 2,  70, 276,223,630
20151120-1558, 9, 5, 1,  72, 350,223,224
20151120-1558, 9, 5, 2,  72, 348,224,223
