"","LOCATION","FREQUENCY","TIME","Value"
"10483","IRL","M","1969-06",21.28090405
"10484","IRL","M","1969-07",-23.84369423
"10485","IRL","M","1969-08",-1.510516802
"10486","IRL","M","1969-09",1.904835426
"10487","IRL","M","1969-10",5.178201927
"10488","IRL","M","1969-11",4.766259227
"10489","IRL","M","1969-12",-0.37260832
"10490","IRL","M","1970-01",-11.9647047
"10491","IRL","M","1970-02",10.81227547
"10492","IRL","M","1970-03",2.142408645
"10493","IRL","M","1970-04",21.09788121
"10494","IRL","M","1970-05",-15.53183306
"10495","IRL","M","1970-06",-7.372975865
"10496","IRL","M","1970-07",-2.051798451
"10497","IRL","M","1970-08",6.15756445
"10498","IRL","M","1970-09",-1.866607692
"10499","IRL","M","1970-10",17.99813059
"10500","IRL","M","1970-11",-15.07436048
"10501","IRL","M","1970-12",-3.712143255
"10502","IRL","M","1971-01",3.665221997
"10503","IRL","M","1971-02",2.466594282
"10504","IRL","M","1971-03",-2.750658863
"10505","IRL","M","1971-04",3.554083345
"10506","IRL","M","1971-05",-3.612592276
"10507","IRL","M","1971-06",-4.221824262
"10508","IRL","M","1971-07",6.025043068
"10509","IRL","M","1971-08",0.803255378
"10510","IRL","M","1971-09",0.858180052
"10511","IRL","M","1971-10",-2.950716659
"10512","IRL","M","1971-11",6.554899705
"10513","IRL","M","1971-12",13.4356764
"10514","IRL","M","1972-01",-0.061628377
"10515","IRL","M","1972-02",-10.55207299
"10516","IRL","M","1972-03",6.977044448
"10517","IRL","M","1972-04",2.632388058
"10518","IRL","M","1972-05",-2.461763034
"10519","IRL","M","1972-06",11.7432871
"10520","IRL","M","1972-07",-1.43724165
"10521","IRL","M","1972-08",-2.51944245
"10522","IRL","M","1972-09",1.849734347
"10523","IRL","M","1972-10",9.996216772
"10524","IRL","M","1972-11",-4.343616212
"10525","IRL","M","1972-12",-6.262685725
"10526","IRL","M","1973-01",4.427905317
"10527","IRL","M","1973-02",19.23789873
"10528","IRL","M","1973-03",-3.208638037
"10529","IRL","M","1973-04",-10.90631687
"10530","IRL","M","1973-05",35.78686624
"10531","IRL","M","1973-06",-35.85419141
"10532","IRL","M","1973-07",31.32634174
"10533","IRL","M","1973-08",20.1614372
"10534","IRL","M","1973-09",-6.530187496
"10535","IRL","M","1973-10",-31.4475179
"10536","IRL","M","1973-11",5.38602982
"10537","IRL","M","1973-12",-1.850289877
"10538","IRL","M","1974-01",-30.67036346
"10539","IRL","M","1974-02",26.24828067
"10540","IRL","M","1974-03",15.16254915
"10541","IRL","M","1974-04",2.481459435
"10542","IRL","M","1974-05",-0.894428302
"10543","IRL","M","1974-06",-2.236794703
"10544","IRL","M","1974-07",4.687112807
"10545","IRL","M","1974-08",10.23635754
"10546","IRL","M","1974-09",-5.326337766
"10547","IRL","M","1974-10",-7.749775151
"10548","IRL","M","1974-11",-7.264484074
