,TIME,AUT,AUT2,BEL,BEL2,CZE,CZE2,DEU,DEU2,DNK,DNK2,ESP,ESP2,EST,EST2,EU27,EU272,FRA,FRA2,GBR,GBR2,GRC,GRC2,HUN,HUN2,IRL,IRL2,ITA,ITA2,LTU,LTU2,LUX,LUX2,LVA,LVA2,NLD,NLD2,POL,POL2,PRT,PRT2,SVK,SVK2,SVN,SVN2,SWE,SWE2
116,1956-08,0,100,-12.47053913,153.8680841,0,100,-3.522856603,133.0823993,-13.22326138,80.91342092,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,-6.774280947,153.9994288,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
117,1956-09,0,100,9.232282531,168.0736204,0,100,3.064661224,137.1609239,16.24709831,94.05950396,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,15.6569609,178.1110592,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
118,1956-10,0,100,7.006782818,179.8501739,0,100,-6.914240456,127.6772879,-14.55471332,80.36941281,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,5.477417045,187.8669447,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
119,1956-11,0,100,-28.45498643,128.6738314,0,100,4.417820678,133.3178415,-9.626974568,72.63226988,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,-22.06187826,146.4199681,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
120,1956-12,0,100,-15.885526,108.2333164,0,100,1.975061394,135.9509507,22.11469012,88.69467129,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,13.44401394,166.104689,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
121,1957-01,0,100,-8.494961061,99.03893834,0,100,-2.802491141,132.1409373,-16.09799479,74.41660773,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,-17.79272026,136.5501463,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
122,1957-02,11.95676964,111.9567696,51.08421837,149.6322059,0,100,7.552947645,142.1214732,23.86684792,92.17750632,0,100,0,100,0,100,0,100,8.014073495,108.0140735,0,100,0,100,59.48587979,159.4858798,17.40455812,160.3160959,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
123,1957-03,1.272266397,113.381158,10.58720148,165.474069,0,100,-3.826217144,136.683597,-17.73272889,75.83191903,0,100,0,100,0,100,0,100,7.419471589,116.028147,0,100,0,100,47.21936375,234.7940975,-0.184356734,160.0205424,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
124,1957-04,-1.924664904,111.1989506,3.88928292,171.9098237,0,100,7.22383311,146.5573919,2.372218908,77.63081815,0,100,0,100,0,100,0,100,13.78032345,132.0172009,0,100,0,100,31.8557762,309.5895797,-3.558418763,154.3263414,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
125,1957-05,-0.548205034,110.5893524,-8.099138471,157.986609,0,100,-3.50187016,141.4251424,-11.08877618,69.02251048,0,100,0,100,0,100,0,100,9.090909091,144.0187647,0,100,0,100,13.7599562,352.1889703,-0.835450133,153.0370218,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
